E745S_00100	1414720.CBYM010000030_gene1705	1.1e-63	211.0	COG4604@1|root,COG4604@2|Bacteria,1UHP5@1239|Firmicutes,25EJF@186801|Clostridia,36UVH@31979|Clostridiaceae	186801|Clostridia	P	ABC transporter	-	-	3.6.3.34	ko:K02013	ko02010,map02010	M00240	-	-	ko00000,ko00001,ko00002,ko01000,ko02000	3.A.1.14	-	-	ABC_tran
E745S_00101	565664.EFXG_03913	2.2e-209	693.7	COG0609@1|root,COG0609@2|Bacteria,1TP13@1239|Firmicutes,4HA75@91061|Bacilli,4B151@81852|Enterococcaceae	91061|Bacilli	U	Belongs to the binding-protein-dependent transport system permease family. FecCD subfamily	fhuB	-	-	ko:K02015	ko02010,map02010	M00240	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.14	-	-	FecCD
E745S_00102	565664.EFXG_03912	1.4e-211	701.3	COG0609@1|root,COG0609@2|Bacteria,1TPX6@1239|Firmicutes,4H9QQ@91061|Bacilli,4B6C5@81852|Enterococcaceae	91061|Bacilli	U	Belongs to the binding-protein-dependent transport system permease family. FecCD subfamily	fhuG	-	-	ko:K02015	ko02010,map02010	M00240	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.14	-	-	FecCD
E745S_00162	1104325.M7W_1228	7.6e-162	535.5	COG1126@1|root,COG1126@2|Bacteria,1TNYD@1239|Firmicutes,4H9WY@91061|Bacilli,4AZIF@81852|Enterococcaceae	91061|Bacilli	E	ABC transporter, ATP-binding protein	glnQ	-	3.6.3.21	ko:K02028	-	M00236	-	-	ko00000,ko00002,ko01000,ko02000	3.A.1.3	-	-	ABC_tran
E745S_00197	565664.EFXG_01650	0.0	1387.5	COG1299@1|root,COG1445@1|root,COG1762@1|root,COG1299@2|Bacteria,COG1445@2|Bacteria,COG1762@2|Bacteria,1TPKU@1239|Firmicutes,4H9KR@91061|Bacilli,4B04A@81852|Enterococcaceae	91061|Bacilli	GT	Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2	fruA	-	2.7.1.202	ko:K02768,ko:K02769,ko:K02770	ko00051,ko01100,ko01120,ko02060,map00051,map01100,map01120,map02060	M00273	R03232	RC00017,RC03206	ko00000,ko00001,ko00002,ko01000,ko02000	4.A.2.1	-	-	PTS_EIIA_2,PTS_EIIC,PTS_IIB
E745S_00222	1121121.KB894284_gene458	0.00018	19.4	COG0687@1|root,COG0687@2|Bacteria,1TPY1@1239|Firmicutes,4HAET@91061|Bacilli,26SCW@186822|Paenibacillaceae	91061|Bacilli	E	Spermidine putrescine ABC transporter substrate-binding protein	potD	-	-	ko:K11069	ko02010,map02010	M00299	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.11.1	-	iSB619.SA_RS05395	SBP_bac_8
E745S_00274	565664.EFXG_01573	0.0	1357.4	COG1762@1|root,COG3711@1|root,COG1762@2|Bacteria,COG3711@2|Bacteria,1UZ36@1239|Firmicutes,4HDUK@91061|Bacilli,4AZS4@81852|Enterococcaceae	91061|Bacilli	G	Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2	srlM	-	-	ko:K03491	-	-	-	-	ko00000,ko03000	-	-	-	HTH_11,Mga,PRD,PTS_EIIA_2
E745S_00276	565664.EFXG_01571	9e-125	407.8	COG3730@1|root,COG3730@2|Bacteria,1URER@1239|Firmicutes,4HEHX@91061|Bacilli,4B10G@81852|Enterococcaceae	91061|Bacilli	G	PTS system enzyme II sorbitol-specific factor	srlA	-	-	ko:K02783	ko00051,ko02060,map00051,map02060	M00280	R05820	RC00017,RC03206	ko00000,ko00001,ko00002,ko02000	4.A.4.1	-	-	EII-GUT
E745S_00279	565664.EFXG_01569	1.8e-90	294.4	COG3731@1|root,COG3731@2|Bacteria,1VG8V@1239|Firmicutes,4HPTF@91061|Bacilli,4B6NR@81852|Enterococcaceae	91061|Bacilli	G	PTS system glucitol/sorbitol-specific IIA component	pts38A	-	2.7.1.198	ko:K02781	ko00051,ko02060,map00051,map02060	M00280	R05820	RC00017,RC03206	ko00000,ko00001,ko00002,ko01000,ko02000	4.A.4.1	-	-	PTSIIA_gutA
E745S_00296	1104325.M7W_1997	2.5e-173	571.7	COG3715@1|root,COG3715@2|Bacteria,1TSKN@1239|Firmicutes,4HHZY@91061|Bacilli,4B1J0@81852|Enterococcaceae	91061|Bacilli	G	PTS system sorbose-specific iic component	-	-	-	ko:K02795	ko00051,ko00520,ko01100,ko02060,map00051,map00520,map01100,map02060	M00276	R02630	RC00017,RC03206	ko00000,ko00001,ko00002,ko02000	4.A.6.1	-	-	EII-Sor
